method,context,repeat,x,set,metric_name,gene,value
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,all,-0.01058533162837405
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,de,-0.030432763828762078
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,correlation,hvg,-0.03991192816601626
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mae,all,0.051818929901624504
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mae,de,0.22730523189896168
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mae,hvg,0.055033165264425664
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mse,all,0.006276061568036233
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mse,de,0.08808984178850214
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,mse,hvg,0.007687164991273611
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,all,-0.3521389735407495
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,de,-0.47206299057960505
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_bias,hvg,-0.4529182895657505
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,all,0.07883420357117932
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,de,-0.1779972031806411
GenePert,nadig_jurkat_essential_jurkat,0,0.0,test,systema_correlation,hvg,0.09685074003147329
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,all,0.3104317220058631
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,de,0.3731371791093975
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,correlation,hvg,0.3040020566643963
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mae,all,0.04976708171508114
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mae,de,0.1998560924195045
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mae,hvg,0.05319488108286999
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mse,all,0.005466095580904775
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mse,de,0.07087792115465406
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,mse,hvg,0.006711242230672988
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,all,0.5965947562609001
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,de,0.5483303968339108
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,systema_bias,hvg,0.6079553079743626
GenePert,nadig_jurkat_essential_jurkat,0,10.0,test,systema_correlation,all,0.09505457530663372
