method,context,repeat,x,set,metric_name,gene,value
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,all,0.0009847485634704861
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,de,-0.004355642186890776
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,correlation,hvg,0.0015973795137193653
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,all,0.06315884708629851
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,de,0.2516961621345473
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mae,hvg,0.07982170376920315
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,all,0.010333018329332883
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,de,0.12257252907952607
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,mse,hvg,0.018069402629239256
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,all,-0.40442183689737443
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,de,-0.5000488968540013
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_bias,hvg,-0.4647492501327223
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,all,0.1117154301360978
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,de,-0.22594598527639378
GenePert,nadig_hepg2_essential_hepg2,0,0.0,test,systema_correlation,hvg,0.13877065486653206
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,all,0.4020032466022713
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,de,0.4829725053331222
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,correlation,hvg,0.4570919790811705
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mae,all,0.058162101215690785
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mae,de,0.16684949842476468
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mae,hvg,0.07202155316877354
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mse,all,0.007471069336661061
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mse,de,0.05639101007932886
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,mse,hvg,0.011877772320738778
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,all,0.5690571943440318
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,de,0.491872282675722
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_bias,hvg,0.5240493008985682
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,all,0.01822568173923831
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,de,0.23932308308964587
GenePert,nadig_hepg2_essential_hepg2,0,9.9,test,systema_correlation,hvg,-0.017755647013076768
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,all,0.3594114113955016
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,de,0.4464887907087127
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,correlation,hvg,0.4137908880331523
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,mae,all,0.056639403804149696
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,mae,de,0.16766073768897954
GenePert,nadig_hepg2_essential_hepg2,0,29.9,test,mae,hvg,0.069623859403427
