method,context,repeat,x,set,metric_name,gene,value
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,all,0.0163508579285274
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,de,0.09003959976284481
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,correlation,hvg,0.02367879949327272
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,all,0.08744766942584456
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,de,0.4067105902233391
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mae,hvg,0.12652779244336196
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,all,0.019833891190749922
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,de,0.25364102503967484
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,mse,hvg,0.04035637214967093
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,all,-0.7704201847636593
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,de,-0.7836604282925872
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_bias,hvg,-0.844157455999498
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,all,-0.48392782987861016
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,de,-0.7358669446285385
CMean,replogle_rpe1_essential_rpe1,0,0.0,cluster_test,systema_correlation,hvg,-0.5884382997675437
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.0007824638650299235
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.040161085116917496
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.0033176365602325506
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.04787288028928742
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.22619287702909563
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.05956458746597283
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.006575430791251277
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.10274430349556446
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.011407058348416757
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.3026522040804155
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.32578774294267604
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.3406812942936218
CMean,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.4136111290413161
