method,context,repeat,x,set,metric_name,gene,value
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,all,0.006091182374450857
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,de,0.05716932584125149
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,correlation,hvg,0.010260657278689538
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,all,0.0613676193573499
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,de,0.287748212884805
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mae,hvg,0.0823985936109684
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,all,0.011096477332221905
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,de,0.1541990788182411
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,mse,hvg,0.021278581216153537
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,all,-0.46215796472851944
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,de,-0.48191927389965095
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_bias,hvg,-0.5123633064394357
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,all,0.10755633207825754
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,de,-0.2497589656172177
scLambda,replogle_rpe1_essential_rpe1,0,0.0,test,systema_correlation,hvg,0.11219434307832801
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,all,0.47487212861898515
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,de,0.5670852031599404
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,correlation,hvg,0.5356676264860374
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,all,0.054097163947509776
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,de,0.18608375030223692
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mae,hvg,0.06810474009354409
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,all,0.0073397377641887425
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,de,0.07656184997869978
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,mse,hvg,0.012239451372576433
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,all,0.422360728849254
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,de,0.3381497647663038
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_bias,hvg,0.37793194441671196
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,all,0.2092430755069528
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,de,0.17757283014841335
scLambda,replogle_rpe1_essential_rpe1,0,9.9,test,systema_correlation,hvg,0.2359020676441513
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,all,0.4888170980854772
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,de,0.594026261728182
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,correlation,hvg,0.5487193000568322
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,all,0.053533432893566796
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,de,0.1902090899889656
scLambda,replogle_rpe1_essential_rpe1,0,29.9,test,mae,hvg,0.06641550936668983
